Arkansas	705 E. Union Ave	Wynne	72396
California	Main Street	Redding	96099
California	Calabasas & Mullholland Drive	Tarzana	91356
Colorado	Buffalo Street	Dillon	80435
Colorado	802 W. Drake Rd	Fort Collins	80526
New Mexico	6th & University	Las Vegas	98765
New Mexico	corner of bookout and central avenue	tularosa	88352
New York	112th Madison Avenue	NY	10029
New York	W. 57th St. & Ninth Ave at Balsley Park	NY	10037
